,0,int,str,str,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
0,,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,E,SAC,SF
1,1982,1,백인천,MBC,0.412,71,298,250,,103,23,1,19,,64,11,3,42,3,17,5,0,,
2,1982,2,윤동균,OB,0.342,77,334,284,,97,20,5,8,,47,9,2,45,1,27,3,2,,
3,1982,3,장태수,삼성,0.336,66,264,214,,72,15,3,3,,27,34,14,42,5,33,1,2,,
4,1982,4,신경식,OB,0.334,78,320,293,,98,21,3,4,,54,14,8,20,3,17,2,6,,
5,1982,5,김봉연,해태,0.331,74,304,269,,89,14,1,22,,52,7,2,28,6,16,8,6,,
6,1982,6,이종도,MBC,0.324,77,327,287,,93,15,1,11,,48,21,3,32,4,51,4,4,,
7,1982,7,이광은,MBC,0.313,63,271,243,,76,16,3,5,,36,17,6,12,7,16,6,14,,
8,1982,8,김우열,OB,0.31,62,255,210,,65,8,0,13,,41,14,4,38,6,25,0,0,,
9,1982,9,구천서,OB,0.308,77,316,266,,82,11,5,3,,25,9,5,35,8,32,3,11,,
10,1982,10,김성한,해태,0.305,80,340,318,,97,17,4,13,,69,10,5,9,8,55,7,4,,
11,1982,11,김준환,해태,0.301,80,331,306,,92,13,3,19,,45,10,5,19,3,23,4,4,,
12,1982,12,김용철,롯데,0.3,71,300,253,,76,13,0,10,,39,6,7,41,4,30,6,2,,
13,1982,13,김종모,해태,0.291,78,286,258,,75,12,0,10,,43,7,2,17,3,27,7,15,,
14,1982,14,이만수,삼성,0.289,77,322,270,,78,16,1,13,,51,6,3,46,4,27,13,5,,
15,1982,15,김용희,롯데,0.284,63,263,232,,66,7,0,11,,38,4,1,25,3,19,12,16,,
16,1982,16,조흥운,삼미,0.284,79,327,299,,85,16,4,4,,35,44,12,24,0,29,4,11,,
17,1982,17,오대석,삼성,0.283,72,307,258,,73,15,1,4,,30,14,1,37,3,34,3,13,,
18,1982,18,김성관,롯데,0.275,76,304,273,,75,15,1,7,,40,16,4,18,8,26,8,2,,
19,1982,19,김정수,롯데,0.274,79,333,277,,76,15,2,11,,49,15,7,49,2,30,4,2,,
20,1982,19,정학수,롯데,0.274,77,345,277,,76,18,1,2,,25,13,10,53,6,26,3,12,,
21,1982,21,금광옥,삼미,0.27,77,306,263,,71,12,3,9,,37,2,4,39,1,30,3,11,,
22,1982,22,김일권,해태,0.27,75,330,282,,76,12,1,11,,36,53,17,42,3,18,4,8,,
23,1982,23,김경남,삼미,0.269,77,314,297,,80,15,5,3,,27,2,1,13,0,36,9,5,,
24,1982,24,양세종,OB,0.269,76,336,301,,81,13,1,7,,37,12,13,27,2,17,5,21,,
25,1982,25,양승관,삼미,0.269,72,269,242,,65,6,1,8,,40,3,4,20,3,46,5,4,,
26,1982,26,송영운,MBC,0.262,76,302,263,,69,11,1,1,,28,15,10,27,1,27,4,6,,
27,1982,27,함학수,삼성,0.261,74,289,261,,68,14,2,7,,51,8,2,22,2,34,8,7,,
28,1982,28,김인식,MBC,0.259,79,355,309,,80,9,0,3,,26,35,7,17,18,14,7,15,,
29,1982,29,차영화,해태,0.259,76,323,282,,73,9,1,1,,12,32,10,31,3,20,3,5,,
30,1982,30,유지훤,OB,0.252,80,299,274,,69,14,2,4,,38,12,6,15,2,15,5,25,,
31,1983,1,장효조,삼성,0.369,93,386,317,,117,19,3,18,,62,22,2,58,6,39,1,1,,
32,1983,2,김종모,해태,0.35,86,342,311,,109,17,2,11,,44,7,10,26,3,26,11,3,,
33,1983,3,김성한,해태,0.327,93,382,339,,111,20,0,7,,40,13,7,38,4,38,7,13,,
34,1983,4,박종훈,OB,0.312,97,427,375,,117,19,6,3,,24,7,6,38,3,28,3,3,,
35,1983,5,유두열,롯데,0.307,94,344,293,,90,18,0,9,,36,7,4,37,7,35,5,2,,
36,1983,6,양승관,삼미,0.302,85,312,278,,84,15,2,9,,30,0,2,24,4,36,3,5,,
37,1983,7,이종도,MBC,0.296,98,391,341,,101,25,2,8,,62,16,6,35,7,43,3,9,,
38,1983,8,이만수,삼성,0.294,98,410,357,,105,12,0,27,,73,0,3,41,8,51,11,9,,
39,1983,9,이해창,MBC,0.294,100,444,388,,114,21,4,8,,47,26,14,41,7,33,5,2,,
40,1983,10,김우열,OB,0.291,95,379,333,,97,21,5,9,,56,9,4,39,5,38,8,0,,
41,1983,11,김재박,MBC,0.29,97,433,373,,108,22,2,5,,46,34,12,42,10,23,7,19,,
42,1983,12,박용성,롯데,0.287,97,398,349,,100,19,1,17,,63,6,7,33,8,60,8,5,,
43,1983,13,김용철,롯데,0.281,97,374,327,,92,21,2,14,,38,8,2,38,1,47,4,14,,
44,1983,14,김봉연,해태,0.28,80,329,286,,80,10,1,22,,59,2,2,42,0,28,3,0,,
45,1983,15,정학수,롯데,0.279,97,401,351,,98,15,2,3,,30,9,7,42,1,27,7,17,,
46,1983,16,이영구,삼미,0.277,100,418,368,,102,21,2,5,,36,5,8,30,4,19,10,17,,
47,1983,17,김대진,삼미,0.277,94,363,311,,86,11,1,2,,23,4,1,30,9,35,3,7,,
48,1983,18,김일권,해태,0.275,96,419,374,,103,13,1,6,,26,48,22,35,6,34,7,4,,
49,1983,19,김용희,롯데,0.275,85,333,298,,82,8,1,18,,52,5,6,26,3,30,12,11,,
50,1983,20,윤동균,OB,0.275,97,411,353,,97,19,1,10,,54,7,6,53,2,33,5,3,,
51,1983,21,한대화,OB,0.272,88,344,313,,85,17,5,5,,44,4,1,16,3,43,7,21,,
52,1983,22,김근석,삼성,0.271,89,320,284,,77,12,0,4,,28,2,6,15,13,37,5,11,,
53,1983,23,이광은,MBC,0.271,93,366,329,,89,12,4,8,,36,17,6,24,8,29,10,15,,
54,1983,24,신경식,OB,0.268,100,421,377,,101,15,1,5,,50,9,7,31,7,38,2,1,,
55,1983,25,김인식,MBC,0.263,100,416,380,,100,16,2,1,,30,14,10,11,13,18,0,9,,
56,1983,26,김무종,해태,0.262,93,345,309,,81,19,2,12,,60,2,5,20,5,35,7,10,,
57,1983,27,함학수,삼성,0.261,93,315,295,,77,10,2,5,,32,8,4,12,2,29,5,10,,
58,1983,28,서정환,해태,0.257,98,358,319,,82,11,3,3,,34,13,7,27,4,42,10,26,,
59,1983,29,정구선,삼미,0.256,97,404,356,,91,11,0,15,,35,1,5,35,4,43,4,11,,
60,1983,30,김진우,삼미,0.253,99,424,364,,92,10,1,15,,49,3,1,51,7,45,11,9,,
61,1984,1,이만수,삼성,0.34,89,342,300,,102,17,1,23,,80,3,8,26,12,37,10,1,,
