,0,int,str,int,int,int,int,float,int,int
0,,¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,2001,1,ÇÑÈ­,133,200,135,65,67.5,0,0
2,2001,2,µÎ»ê,133,166,132,34,79.5,0,0
3,2001,3,SK,133,182,123,59,67.6,0,0
4,2001,4,·Ôµ¥,133,159,106,53,66.7,0,0
5,2001,5,Çö´ë,133,154,99,55,64.3,0,0
6,2001,6,LG,133,154,96,58,62.3,0,0
7,2001,7,KIA,133,155,92,63,59.4,0,0
8,2001,8,»ï¼º,133,117,73,44,62.4,0,0
9,2002,1,KIA,133,194,155,39,79.9,54,8
10,2002,2,LG,133,203,140,63,69,46,7
11,2002,3,µÎ»ê,133,148,106,42,71.6,46,1
12,2002,4,ÇÑÈ­,133,159,94,65,59.1,38,3
13,2002,5,SK,133,135,80,55,59.3,60,11
14,2002,6,Çö´ë,133,129,79,50,61.2,50,6
15,2002,7,·Ôµ¥,133,139,76,63,54.7,51,9
16,2002,8,»ï¼º,133,76,47,29,61.8,49,5
17,2003,1,KIA,133,213,146,67,68.5,73,11
18,2003,2,LG,133,197,135,62,68.5,40,5
19,2003,3,·Ôµ¥,133,150,84,66,56,60,8
20,2003,4,SK,133,139,82,57,59,64,5
21,2003,5,ÇÑÈ­,133,135,78,57,57.8,64,12
22,2003,6,Çö´ë,133,123,75,48,61,72,5
23,2003,7,µÎ»ê,133,94,58,36,61.7,45,7
24,2003,8,»ï¼º,133,88,56,32,63.6,41,5
25,2004,1,·Ôµ¥,133,175,129,46,73.7,66,10
26,2004,2,KIA,133,181,127,54,70.2,38,10
27,2004,3,Çö´ë,133,145,100,45,69,67,6
28,2004,4,ÇÑÈ­,133,140,82,58,58.6,50,7
29,2004,5,µÎ»ê,133,130,71,59,54.6,59,9
30,2004,6,LG,133,117,69,48,59,56,7
31,2004,7,SK,133,97,50,47,51.5,53,4
32,2004,7,»ï¼º,133,82,50,32,61,50,14
33,2005,1,LG,126,194,149,45,76.8,30,10
34,2005,2,µÎ»ê,126,153,103,50,67.3,51,4
35,2005,3,KIA,126,144,101,43,70.1,43,6
36,2005,3,SK,126,155,101,54,65.2,58,15
37,2005,5,»ï¼º,126,135,97,38,71.9,42,7
38,2005,6,·Ôµ¥,126,140,88,52,62.9,57,8
39,2005,7,Çö´ë,126,119,81,38,68.1,56,12
40,2005,8,ÇÑÈ­,126,86,62,24,72.1,33,2
41,2006,1,µÎ»ê,126,189,132,57,69.8,72,8
42,2006,2,»ï¼º,126,173,121,52,69.9,56,6
43,2006,3,SK,126,164,117,47,71.3,58,11
44,2006,4,KIA,126,136,93,43,68.4,46,8
45,2006,5,LG,126,117,84,33,71.8,30,8
46,2006,6,Çö´ë,126,118,71,47,60.2,53,9
47,2006,7,ÇÑÈ­,126,93,65,28,69.9,41,3
48,2006,8,·Ôµ¥,126,103,62,41,60.2,68,7
49,2007,1,µÎ»ê,126,220,161,59,73.2,62,12
50,2007,2,SK,126,204,136,68,66.7,50,9
51,2007,3,LG,126,176,130,46,73.9,48,11
52,2007,4,»ï¼º,126,147,101,46,68.7,41,6
53,2007,5,KIA,126,114,70,44,61.4,30,5
54,2007,6,·Ôµ¥,126,113,67,46,59.3,56,3
55,2007,7,Çö´ë,126,87,51,36,58.6,57,5
56,2007,8,ÇÑÈ­,126,69,48,21,69.6,43,5
57,2008,1,µÎ»ê,126,252,189,63,75,47,8
58,2008,2,SK,126,253,170,83,67.2,52,7
59,2008,3,·Ôµ¥,126,201,133,68,66.2,77,9
60,2008,4,KIA,126,196,131,65,66.8,62,11
61,2008,5,LG,126,156,111,45,71.2,48,8
62,2008,6,ÇÑÈ­,126,122,97,25,79.5,38,4
63,2008,6,¿ì¸®,126,154,97,57,63,44,10
64,2008,8,»ï¼º,126,96,59,37,61.5,53,6
65,2009,1,È÷¾î·ÎÁî,133,259,192,67,74.1,50,8
66,2009,2,SK,133,249,181,68,72.7,60,10
67,2009,3,LG,133,188,141,47,75,56,6
68,2009,4,µÎ»ê,133,179,129,50,72.1,62,7
69,2009,5,»ï¼º,133,175,125,50,71.4,64,8
70,2009,6,KIA,133,165,113,52,68.5,64,12
71,2009,7,·Ôµ¥,133,151,106,45,70.2,69,6
72,2009,8,ÇÑÈ­,133,89,69,20,77.5,38,5
73,2010,1,LG,133,225,169,56,75.1,58,15
74,2010,2,SK,133,230,161,69,70,51,13
75,2010,3,»ï¼º,133,213,158,55,74.2,54,8
76,2010,4,³Ø¼¾,133,191,135,56,70.7,56,5
77,2010,5,µÎ»ê,133,189,128,61,67.7,56,12
78,2010,6,·Ôµ¥,133,175,124,51,70.9,62,7
79,2010,7,ÇÑÈ­,133,191,121,70,63.4,56,11
80,2010,8,KIA,133,169,117,52,69.2,48,14
81,2011,1,»ï¼º,133,209,158,51,75.6,54,9
82,2011,2,µÎ»ê,133,187,130,57,69.5,70,3
83,2011,3,LG,133,168,116,52,69,53,4
84,2011,4,KIA,133,151,113,38,74.8,48,7
85,2011,5,·Ôµ¥,133,170,112,58,65.9,56,5
86,2011,6,SK,133,166,105,61,63.3,46,9
87,2011,7,ÇÑÈ­,133,176,100,76,56.8,42,13
88,2011,8,³Ø¼¾,133,154,99,55,64.3,47,11
89,2012,1,³Ø¼¾,133,251,179,72,71.3,53,16
90,2012,2,LG,133,197,140,57,71.1,61,6
91,2012,3,KIA,133,183,132,51,72.1,51,8
92,2012,4,»ï¼º,133,173,125,48,72.3,63,8
93,2012,5,·Ôµ¥,133,172,119,53,69.2,46,7
94,2012,6,µÎ»ê,133,167,116,51,69.5,62,10
95,2012,7,ÇÑÈ­,133,160,107,53,66.9,50,16
96,2012,8,SK,133,179,104,75,58.1,57,4
97,2013,1,µÎ»ê,128,233,172,61,73.8,53,15
98,2013,2,SK,128,207,144,63,69.6,42,13
99,2013,3,NC,128,189,142,47,75.1,35,19
100,2013,4,KIA,128,188,141,47,75,50,7
101,2013,5,LG,128,210,139,71,66.2,69,17
102,2013,6,·Ôµ¥,128,191,133,58,69.6,66,12
103,2013,7,³Ø¼¾,128,196,131,65,66.8,55,14
104,2013,8,»ï¼º,128,136,95,41,69.9,58,6
105,2013,9,ÇÑÈ­,128,119,70,49,58.8,56,9
106,2014,1,»ï¼º,128,207,161,46,77.8,60,10
107,2014,2,NC,128,201,154,47,76.6,44,7
108,2014,3,SK,128,185,139,46,75.1,50,11
109,2014,4,KIA,128,184,121,63,65.8,59,7
110,2014,5,µÎ»ê,128,155,111,44,71.6,50,6
111,2014,6,LG,128,169,105,64,62.1,51,9
112,2014,7,³Ø¼¾,128,144,100,44,69.4,54,13
113,2014,8,ÇÑÈ­,128,111,70,41,63.1,46,5
114,2014,9,·Ôµ¥,128,104,63,41,60.6,49,2
115,2015,1,NC,144,264,204,60,77.3,50,14
116,2015,2,»ï¼º,144,209,157,52,75.1,60,6
117,2015,3,KT,144,176,124,52,70.5,58,10
118,2015,4,KIA,144,165,115,50,69.7,60,13
119,2015,5,LG,144,175,113,62,64.6,55,9
120,2015,6,µÎ»ê,144,158,111,47,70.3,56,6
121,2015,7,·Ôµ¥,144,154,104,50,67.5,56,9
122,2015,8,³Ø¼¾,144,147,100,47,68,72,16
123,2015,9,SK,144,153,94,59,61.4,59,14
124,2015,10,ÇÑÈ­,144,127,80,47,63,57,14
125,2016,1,³Ø¼¾,144,237,154,83,65,56,11
126,2016,2,·Ôµ¥,144,209,145,64,69.4,55,10
127,2016,3,LG,144,191,121,70,63.4,70,13
128,2016,4,»ï¼º,144,154,104,50,67.5,51,5
129,2016,5,KIA,144,151,101,50,66.9,52,12
130,2016,6,NC,144,140,99,41,70.7,48,3
131,2016,7,KT,144,142,96,46,67.6,58,11
132,2016,8,SK,144,149,89,60,59.7,71,8
133,2016,9,µÎ»ê,144,130,85,45,65.4,64,4
134,2016,10,ÇÑÈ­,144,102,64,38,62.7,58,10
135,2017,1,»ï¼º,144,135,98,37,72.6,53,6
136,2017,2,NC,144,125,93,32,74.4,59,7
137,2017,3,·Ôµ¥,144,136,92,44,67.6,52,10
138,2017,4,KT,144,137,86,51,62.8,54,8
139,2017,5,LG,144,133,77,56,57.9,50,9
140,2017,6,KIA,144,110,76,34,69.1,46,8
141,2017,7,³Ø¼¾,144,104,70,34,67.3,55,2
142,2017,8,µÎ»ê,144,102,69,33,67.6,36,8
143,2017,9,ÇÑÈ­,144,108,64,44,59.3,58,12
144,2017,10,SK,144,95,53,42,55.8,33,7
145,2018,1,ÇÑÈ­,144,182,118,64,64.8,58,10
146,2018,2,»ï¼º,144,168,116,52,69,46,4
147,2018,3,SK,144,147,108,39,73.5,51,10
148,2018,4,³Ø¼¾,144,134,101,33,75.4,45,6
149,2018,5,µÎ»ê,144,119,96,23,80.7,54,7
150,2018,6,KIA,144,125,88,37,70.4,53,6
151,2018,7,NC,144,117,82,35,70.1,48,8
152,2018,8,KT,144,137,80,57,58.4,63,7
153,2018,9,LG,144,109,71,38,65.1,48,7
154,2018,10,·Ôµ¥,144,100,68,32,68,46,10
155,2019,1,SK,144,168,118,50,70.2,51,12
156,2019,2,Å°¿ò,144,143,110,33,76.9,37,6
157,2019,3,LG,144,155,108,47,69.7,38,6
158,2019,4,»ï¼º,144,149,107,42,71.8,45,7
159,2019,5,ÇÑÈ­,144,156,105,51,67.3,51,6
160,2019,6,KT,144,148,104,44,70.3,58,8
161,2019,7,µÎ»ê,144,140,102,38,72.9,59,7
162,2019,8,KIA,144,129,87,42,67.4,61,7
163,2019,8,NC,144,132,87,45,65.9,53,7
164,2019,10,·Ôµ¥,144,96,65,31,67.7,49,8
165,2020,1,»ï¼º,144,181,132,49,72.9,42,14
166,2020,2,Å°¿ò,144,140,113,27,80.7,40,11
167,2020,3,KT,144,156,106,50,67.9,49,6
168,2020,4,NC,144,139,101,38,72.7,49,7
169,2020,5,·Ôµ¥,144,121,90,31,74.4,52,3
170,2020,6,µÎ»ê,144,125,88,37,70.4,63,4
171,2020,7,LG,144,122,83,39,68,64,5
172,2020,8,SK,144,126,81,45,64.3,44,16
173,2020,9,ÇÑÈ­,144,87,51,36,58.6,43,4
174,2020,10,KIA,144,72,47,25,65.3,47,6
175,2021,1,»ï¼º,144,160,116,44,72.5,47,7
176,2021,2,KT,144,158,112,46,70.9,50,6
177,2021,3,ÇÑÈ­,144,165,109,56,66.1,59,14
178,2021,4,NC,144,147,101,46,68.7,39,9
179,2021,5,SSG,144,143,100,43,69.9,42,3
180,2021,6,Å°¿ò,144,123,97,26,78.9,39,3
181,2021,7,LG,144,126,92,34,73,43,15
182,2021,8,µÎ»ê,144,118,81,37,68.6,48,11
183,2021,9,KIA,144,104,73,31,70.2,46,8
184,2021,10,·Ôµ¥,144,91,60,31,65.9,54,8
185,2022,1,KIA,144,137,103,34,75.2,57,5
186,2022,2,LG,144,148,102,46,68.9,46,10
187,2022,3,NC,144,139,100,39,71.9,56,7
188,2022,4,SSG,144,137,98,39,71.5,42,4
189,2022,5,ÇÑÈ­,144,142,93,49,65.5,49,6
190,2022,6,»ï¼º,144,118,91,27,77.1,50,6
191,2022,7,µÎ»ê,144,130,90,40,69.2,55,4
192,2022,8,KT,144,123,89,34,72.4,38,6
193,2022,9,Å°¿ò,144,83,63,20,75.9,42,8
194,2022,10,·Ôµ¥,144,100,61,39,61,54,6
